Tembung,Ngoko,Krama,Ki,Notes
Kenal,tepung,tepang,,cth: Ndherek tetepangan - dikenalkan
Tepung/flour,,,,
Alat,Sarana,,,
tenggelam,angslup,,,
Berkembang,ngrembaka,,,cth: ngrembakakaken = mengembangkan
Sia-sia,muspra,,,
Berhenti,mandheg,,,
Diajak,dijak/di(a)jak,,,
diperhatikan,digatekake,,,
Hal/tentang,bab,,,
Undangan,ulem,,,cth: serat ulem - surat undangan
Mengunjungi/menghadap,sowan,,,
Pesta desa/bersih desa,merti desa,,,
Menanam padi,tandur,,,
Bermanfaat,mupangati,,,
(kan?),rak,,,
Yang pertama,sing kapisan,,,
waktu sebegini,mene,,,cth: lha kok yah mene durung teka ya?
menyuruh,ngaturi,,,
Segera/cepat,gek,,,
Berdiskusi,rembugan,rembagan,,
Khusus/istimewa,mirunggan/mligi,,,
Terlambat,telat,,,
Bosan,bosen/jeleh,,,
Flat,gepak,,,
"Sampah daun, organik",pawuhan,,,
Mengambil dan memanfaatkan,ngalap,,,
merebut,ngrayah,,,rayahan = rebutan ramai-ramai cth: ngrayah isining gunungan
Supaya,ben,,,
Bundhelane,kesimpulannya,,,
Great grandparents,mbah buyut,,,
Tergesa/terburu,kesesa/kesusu,,,
Butuh,,betah,,
Kegiatan kumpul uang,arisan,,,
sempat,kober,,,
menjelaskan,njlentrehake,,,cth: coba njlentrehna
untung,beja,,,
sejarah,sujarah,,,
Mengakui,ngakoni ,,,
Gadis,kenya,,,
Berbunyi,muni,,,
Terjemahkan,,jarwakaken,,
Puasa,pasa,siyam,,
Menjamin,ngukup,,,
Cerpen,cerkak,,,
Perasaan,raos,,,cth: raos tresna
Berpacaran,yang-yangan,,,
(saling),-an,,,cth: surat-suratan - saling bersurat
Pukul,antem,,,cth: atem-ateman - saling pukul
Terletak/Bertempat,mapan (dari papan),,,
Kukuh/Teguh,puguh,,,
Ketemu,Ketampa,,,
Menciptakan hasil kerja/karya,makarya,,,ma - melakukan
Kebetulan,kapinujon/keleresan,,,
Dekat (hubungan),raket/rumaket,,,cth: kanca raket
Mekar/berkembang,mekrok,,,
Mantan,tilas,,,
Keinginan,karep,kajeng,karsa,
Sembunyi-sembunyi,ndhelik-ndhelik/dhelikan,sesingidan,,
Berubah,ngowahi,ngewahi,,
Wealth/Kekayaan,bandha,,,
Curhat,ngudarasa,,,
Menghargai/menghormati,ngajeni (dari aji),,,
Kenapa,ngapa,,,
Jadi,sida,,,
Justeru/malah,kepara,,,
Kecewa/menyesal,gela,,,
Tergila-gila,kedanan,,,cth: wong edan - orang gila
Selalu bersama-sama,reruntungan,,,
Diam,mendel,,,
Rahsia,wadi,,,
Dsb,lan sapanunggalane,,,
Tidak tau/entah,embuh/mbuh,,,
Sebahagian/Beberapa,saperangan,,,cth: saperangan ageng...
Perhatian,kawigaten,,,
Viral,kembang lambe,,,
Akhir,Wusana,,,
Bunyi,uni/muni/ngunekake,,,
Bersuara,muni,,,
Marah,muni-muni,,,
Cerai,pegatan,,,
Melalaikan,nglirwakake,,,
Hadiah,bebungah,,,kekucah: hadiah dari sultan
Senang,bungah,,,
Pemberian,paweweh/weweh,,,
Hidang,suguh/disuguh,,,
Kedua,kapindho,,,
Ketiga,Kaping telu,,,
